context.source_code,ligand.type,ligand.charge,ligand.polarity
C102875,unknown,unknown,unknown
C105613,unknown,unknown,unknown
C111688,peptide,positive,unknown
C113175,polymer-peg,neutral,hydrophilic
C115104,polymer-peg,neutral,hydrophilic
C115108,unknown,unknown,unknown
C115986,unknown,unknown,unknown
C116792,unknown,unknown,unknown
C116869,polymer-peg,neutral,hydrophilic
C116890,unknown,unknown,unknown
C117733,unknown,unknown,unknown
C118648,unknown,unknown,unknown
C121214,unknown,unknown,unknown
C121539,unknown,unknown,unknown
C121961,targeting,unknown,unknown
C124053,unknown,unknown,unknown
C126800,targeting,unknown,unknown
C128132,polymer-peg,neutral,hydrophilic
C129651,unknown,unknown,unknown
C131213,antibody,unknown,unknown
C131368,unknown,unknown,unknown
C131434,unknown,unknown,unknown
C131825,unknown,unknown,unknown
C136981,antibody,unknown,unknown
C137951,targeting,unknown,unknown
C139003,polymer-peg,neutral,polar
C142137,targeting,unknown,unknown
C146821,unknown,unknown,unknown
C147562,antibody,unknown,unknown
C148280,unknown,unknown,unknown
C148511,targeting,unknown,unknown
C148522,antibody,unknown,unknown
C148531,polymer-peg,neutral,polar
C148635,unknown,unknown,unknown
C150508,unknown,unknown,unknown
C150717,unknown,unknown,unknown
C153425,targeting,unknown,unknown
C154569,targeting,unknown,unknown
C156739,polymer-peg,neutral,hydrophilic
C156926,targeting,unknown,unknown
C157247,unknown,unknown,unknown
C157499,unknown,unknown,unknown
C157771,unknown,unknown,unknown
C158083,antibody,unknown,unknown
C159408,unknown,unknown,unknown
C160824,unknown,unknown,unknown
C160867,targeting,unknown,unknown
C162186,targeting,unknown,unknown
C162773,unknown,unknown,unknown
C165263,targeting,unknown,unknown
C166169,polymer-peg,neutral,hydrophilic
C166389,unknown,unknown,unknown
C167334,polymer-peg,neutral,hydrophilic
C169048,polymer-peg,neutral,hydrophilic
C170743,unknown,unknown,unknown
C170753,unknown,unknown,unknown
C173879,targeting,unknown,unknown
C174128,targeting,unknown,unknown
C175469,targeting,unknown,unknown
C175941,unknown,unknown,unknown
C178643,targeting,unknown,unknown
C179302,unknown,unknown,unknown
C179581,targeting,unknown,unknown
C179607,unknown,unknown,unknown
C179620,antibody,unknown,unknown
C179638,unknown,unknown,unknown
C179639,unknown,unknown,unknown
C179685,targeting,positive,unknown
C180409,unknown,unknown,unknown
C180674,antibody,unknown,unknown
C180692,polymer-peg,neutral,hydrophilic
C184380,unknown,unknown,unknown
C185869,unknown,unknown,unknown
C187021,folate,unknown,unknown
C187033,unknown,unknown,unknown
C187083,unknown,unknown,unknown
C187116,unknown,unknown,unknown
C187124,antibody,unknown,unknown
C190153,unknown,unknown,unknown
C190391,unknown,unknown,unknown
C190739,antibody,unknown,unknown
C198655,targeting,unknown,unknown
C200369,targeting,unknown,unknown
C201982,targeting,unknown,unknown
C202248,targeting,unknown,unknown
C202862,peptide,unknown,unknown
C204213,unknown,unknown,unknown
C204794,targeting,unknown,unknown
C204942,targeting,unknown,unknown
C205639,unknown,unknown,unknown
C208344,targeting,unknown,unknown
C210897,targeting,unknown,unknown
C211533,unknown,unknown,unknown
C2688,unknown,unknown,unknown
C38140,unknown,unknown,unknown
C39438,unknown,unknown,unknown
C48203,targeting,unknown,unknown
C48415,unknown,unknown,unknown
C49178,polymer-peg,positive,hydrophilic
C62308,unknown,unknown,unknown
C62311,targeting,unknown,unknown
C62312,unknown,unknown,unknown
C62358,unknown,unknown,unknown
C62367,unknown,unknown,unknown
C62375,targeting,unknown,unknown
C62384,unknown,unknown,unknown
C62388,unknown,unknown,unknown
C62538,polymer-peg,neutral,hydrophilic
C62597,peptide,unknown,unknown
C62598,peptide,unknown,unknown
C66943,unknown,unknown,unknown
C68566,peptide,unknown,unknown
C71696,unknown,unknown,unknown
C74065,targeting,unknown,unknown
C78450,targeting,unknown,unknown
C82391,unknown,unknown,unknown
C82676,polymer-peg,neutral,hydrophilic
C82691,unknown,unknown,unknown
C85476,polymer-peg,neutral,polar
C88264,targeting,positive,unknown
C90534,unknown,unknown,unknown
C91074,targeting,unknown,unknown
C91087,unknown,unknown,unknown
C91708,unknown,positive,unknown
C95892,polymer-peg,neutral,hydrophilic
C96037,unknown,unknown,unknown
C98280,targeting,unknown,unknown
C98288,unknown,positive,unknown
