Code,Parents,Synonyms,Definition,Display Name,Concept Status,Semantic Type,Concept in Subset
C102875,C67502,Nanoparticle-encapsulated Doxorubicin Hydrochloride|BA-003|Doxorubicin Transdrug|Livatag,"A formulation of nanoparticles encapsulating the hydrochloride salt form of the anthracycline antibiotic doxorubicin, with potential antitumor activity. Upon intravenous administration, doxorubicin intercalates DNA, interferes with the activity of topoisomerase II, and causes DNA adducts and other DNA damage, resulting in tumor cell growth inhibition and apoptosis. This agent also interacts with cell membrane lipids causing lipid peroxidation. Delivery of doxorubicin in nanoparticles may improve drug penetration into tumors and may circumvent the tumor cells multidrug resistance mechanisms and may therefore be effective in chemoresistant tumor cells.",,,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C105613,C2150|C1557,Gemcitabine Hydrochloride Emulsion|D07001-F4,"An orally available nanoparticle-based formulation containing the hydrochloride salt form of gemcitabine, a broad-spectrum antimetabolite and deoxycytidine analogue, with antineoplastic activity. The formulation consists of an oil-in-water emulsion in which gemicitabine is solubilized in the excipient matrix containing a mixture of oil and (co)surfactants. Upon oral administration, gemcitabine is converted into the active metabolites difluorodeoxycytidine diphosphate (dFdCDP) and difluorodeoxycytidine triphosphate (dFdCTP) by deoxycytidine kinase. dFdCTP competes with deoxycytidine triphosphate (dCTP) and is incorporated into DNA, resulting in premature termination of DNA replication and the induction of apoptosis. Further, dFdCDP inhibits ribonucleotide reductase and reduces the deoxynucleotide pool available for DNA synthesis. Compared to gemcitabine alone, the emulsion allows for increased oral bioavailability and decreases its susceptibility to deamination and deactivation by cytidine deaminase.",,,"Nucleic Acid, Nucleoside, or Nucleotide|Pharmacologic Substance",GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C111688,C1752,Liposomal HPV-16 E6/E7 Multipeptide Vaccine PDS0101|PDS0101|mmunoMAPK-RDOTAP /HPV-16 E6/E7 Peptide Antigen Vaccine,"A liposomal nanoparticle-based therapeutic vaccine composed of the cationic lipid R-DOTAP (R-enantiomer of 1,2-dioleoyl-3-trimethylammonium-propane chloride) encapsulating six human papillomavirus 16 (HPV-16) E6 and E7 peptides, with potential immunostimulating activity. Upon subcutaneous administration of the liposomal HPV-16 E6 and E7 multipeptide vaccine, the nanoparticles are taken up by antigen presenting cells (APCs), specifically dendritic cells (DCs), which may stimulate the immune system to induce a cytotoxic T-lymphocyte response (CTL) against HPV-16 E6 and E7-expressing tumor cells. HPV-16 E6 and E7 are oncoproteins that play a key role in the tumorigenesis of a variety of cancers.",Liposomal HPV-16 E6/E7 Multipeptide Vaccine PDS0101,,Immunologic Factor|Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C113175,C1450,DACH-Platin Micelle NC-4016|DACH-Pt/m NC-4016|Dach-Platin Micelle NC-4016|Diaminocyclohexane Platinum Micelle NC-4016|NC-4016,"Polymeric micellar nanoparticles containing diaminocyclohexane platinum (DACH-platin or DACH-Pt) with potential antineoplastic activity. DACH-platin micelle NC-4016 is prepared through the formation of a polymer-metal complex between DACH-platin and the polyethylene glycol-poly (glutamic acid) block copolymer, PEG-P(Glu). DACH-platin, an active metabolite of the platinum-based antineoplastic agent oxaliplatin, is highly hydrophobic and toxic when administered systemically. The use of polymeric micelles incorporating DACH-platin may both increase cell permeability and enhance the retention of the agent. This allows an extended half-life in the blood circulation and a selective and high accumulation of DACH-platin at tumor sites. This results in increased anticancer efficacy while reducing side effects due to DACH-platin toxicity. Upon intravenous administration and internalization by tumor cells, DACH-platin binds to and causes both inter- and intra-strand cross-links in DNA, forming platinum adducts and triggering tumor cell apoptosis.",,,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C115104,C1966,Fluorescent cRGDY PEG-Cy5.5 C Dots|cRGDY-PEG-Cy5.5-C Dots,"An imaging agent composed of silica-based nanoparticles labeled with a near-infrared (NIR) fluorophore, Cyanine 5.5 (Cy5.5) and surrounded by polyethylene glycol (PEG) chains attached to cyclo-[Arg-Gly-Asp-Tyr] (cRGDY) peptides, with potential use as a tumor-selective fluorescent imaging agent. Upon intradermal administration of the fluorescent cRGDY PEG-Cy5.5 C dots, the cRGD moiety selectively binds to alphaVbeta3 integrin expressed on tumor cells. Upon intraoperative fluorescence imaging, alphaVbeta3-expressing tumor cells can be visualized and the degree of both tumor metastasis and sentinel lymph node (SLN) trafficking can be assessed. Integrins are transmembrane glycoproteins upregulated on proliferating tumor vessel endothelial cells and various cancer cells; their overexpression has been associated with neovascularization, differentiation, proliferation of tumor cells, metastasis and an overall poor prognosis.",Fluorescent cRGDY PEG-Cy5.5 C Dots,,"Indicator, Reagent, or Diagnostic Aid",CTRP Agent Terminology|CTRP Terminology|NCI Drug Dictionary Terminology
C115108,C129821,MYC-targeting siRNA DCR-MYC|DCR-M1711|DCR-MYC,"A lipid nanoparticle-based formulation consisting of small-interfering RNAs (siRNAs) directed against the oncogene c-Myc encapsulated in lipids with potential antineoplastic activity. Upon intravenous administration of MYC-targeting siRNA DCR-MYC, the lipid formulation promotes the uptake by tumor cells where the siRNAs moieties are subsequently released. The siRNAs bind to c-Myc mRNAs, which may result in the inhibition of translation and expression of the c-Myc protein and leads to growth inhibition for tumor cells that are overexpressing c-Myc. c-Myc, a proto-oncogene overexpressed in a variety of cancers, is involved in cellular proliferation, differentiation, and apoptosis.",MYC-targeting siRNA DCR-MYC,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C115986,C1937,Carbon Nanoparticle-based Formulation|CNP|Carbon Nanoparticles,"A nanoparticle-based formulation containing carbon, with both a mean size of 150 nm, and potential use as a stain for lymph node draining. Upon injection of the carbon nanoparticles at the tumor site, these nanoparticles travel to regional lymph nodes and stain the lymph nodes black due to the presence of the carbon. This may allow for a more precise surgical removal of tumor-draining lymph nodes.",,,"Indicator, Reagent, or Diagnostic Aid",NCI Drug Dictionary Terminology
C116869,C67437,Pegylated Liposomal Nanoparticle-based Docetaxel Prodrug MNK-010|MNK-010|MP-3549-1|Pegylated Liposomal Docetaxel Prodrug MNK-010,"A formulation containing pegylated liposomal nanoparticles encapsulating a prodrug of the poorly water-soluble, second-generation taxane analog docetaxel, with potential antineoplastic activity. Upon intravenous administration of the liposomal docetaxel prodrug MNK-010, docetaxel is slowly released into the systemic circulation and accumulates at the tumor site due to the unique characteristics of the tumor's vasculature. In turn, docetaxel is taken up by tumor cells, and subsequently binds to and stabilizes the beta-subunit of tubulin, thereby stabilizing microtubules and inhibiting microtubule disassembly. This results in cell cycle arrest and induces cell death. Compared to the administration of docetaxel alone, this formulation is able to increase the delivery of docetaxel into tumors, thereby increasing docetaxel's efficacy while minimizing its toxicity. In addition, this formulation solubilizes docetaxel without the use of toxic solvents, thereby permitting the administration of larger doses of docetaxel while avoiding solvent-associated toxicity.",Pegylated Liposomal Nanoparticle-based Docetaxel Prodrug MNK-010,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C116890,C1904,Nanoparticle Albumin-bound Thiocolchicine Dimer nab-5404|ABI-011|IDN 5404|IDN-5404|NTB-011|nab-5404|nab-Thiocolchicine Dimer,"A nanoparticle albumin-bound formulation of a thiocolchicine dimer, an inhibitor of both microtubule and topoisomerase I (TOP1), with antineoplastic and vascular disrupting activities. Upon administration of nanoparticle albumin-bound thiocolchicine dimer nab-5404, this agent binds to tubulin and inhibits its polymerization, which blocks mitotic spindle formation and leads to cell cycle arrest and tumor endothelial cell apoptosis. This disrupts the tumor vasculature and leads to tumor necrosis. In addition, nab-5404 binds to topoisomerase I (TOPI) and inhibits its activity. This results in the inhibition of the repair of single-strand DNA breaks, DNA replication, and tumor cell growth in susceptible tumor cell populations. The nanoparticle albumin-based formulation permits the albumin-mediated endocytosis of the thiocolchicine dimer by tumor cells and endothelial cells.",Nanoparticle Albumin-bound Thiocolchicine Dimer nab-5404,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|FDA Established Names and Unique Ingredient Identifier Codes Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C118648,C61078,Nanoparticle-based Paclitaxel Suspension|Nanotax,"A nanoparticle-based suspension containing the water-insoluble taxane paclitaxel, with potential antineoplastic activity. Upon intraperitoneal administration, paclitaxel binds to tubulin and inhibits the disassembly of microtubules, which leads to the inhibition of cell division. The nanoparticle-based formulation is devoid of toxic solvents, such as cremophor; therefore, this agent has fewer side effects than the standard, solvent-based paclitaxel formulation.",Nanoparticle-based Paclitaxel Suspension,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCIt Antineoplastic Agent Terminology
